DeviceID,PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
D82699,2217,WP30105,0,F,11,C0D0F1T1,1,mm,a4_121820
D82699,2231,WP30105,0,F,11,C1D0F0T0,1,mm,a4_121820
D82699,16441,WP30105,0,F,12,C1D1F1T1,2,mm,a4_121820
D82699,5386,WP30105,0,F,12,C0D1F1T1,1,mm,a4_121820
D82699,9908,WP30105,0,F,12,C1D0F0T1,0,mm,a4_121820
D82699,2172,WP30105,0,F,12,C1D1F0T0,0,mm,a4_121820
D82699,803,WP30105,0,F,12,C0D0F1T1,1,mm,a4_121820
D82699,1077,WP30105,0,F,12,C0D0F0T1,1,mm,a4_121820
D82699,18186,WP30105,0,F,12,C0D1F0T1,1,mm,a4_121820
D82699,406,WP30105,0,F,12,C0D1F1T0,1,mm,a4_121820
D82699,10359,WP30105,0,F,12,C0D1F0T0,1,mm,a4_121820
D82699,19520,WP30105,0,F,12,C0D0F1T0,1,mm,a4_121820
D82699,4010,WP30105,0,F,12,C1D0F0T0,1,mm,a4_121820
D82699,2493,WP30105,0,F,12,C1D0F1T0,1,mm,a4_121820
D82699,2637,WP30105,0,G,1,C0D0F0T1,1,mm,a4_121820
D82699,5615,WP30105,0,G,1,C1D0F1T0,1,mm,a4_121820
D82699,12982,WP30105,0,G,1,C1D0F0T1,1,mm,a4_121820
D82699,657,WP30105,0,G,1,C0D0F1T1,0,mm,a4_121820
D82699,10623,WP30105,0,G,1,C0D1F0T1,1,mm,a4_121820
D82699,8727,WP30105,0,G,1,C0D1F1T0,2,mm,a4_121820
D82699,14908,WP30105,0,G,1,C1D1F1T1,1,mm,a4_121820
D82699,8681,WP30105,0,G,1,C1D1F0T0,2,mm,a4_121820
D82699,2316,WP30105,0,G,1,C1D0F0T0,0,mm,a4_121820
D82699,5690,WP30105,0,G,1,C0D1F1T1,1,mm,a4_121820
D82699,13451,WP30105,0,G,1,C0D1F0T0,1,mm,a4_121820
D82699,16426,WP30105,0,G,1,C0D0F1T0,1,mm,a4_121820
D82699,5662,WP30105,0,G,2,C0D1F1T0,1,mm,a4_121820
D82699,818,WP30105,0,G,2,C0D0F1T1,1,mm,a4_121820
D82699,8533,WP30105,0,G,2,C1D0F0T0,1,mm,a4_121820
D82699,2189,WP30105,0,G,2,C1D0F1T0,1,mm,a4_121820
D82699,13376,WP30105,0,G,2,C0D0F1T0,1,mm,a4_121820
D82699,1003,WP30105,0,G,2,C0D1F1T1,0,mm,a4_121820
D82699,14533,WP30105,0,G,2,C1D0F0T1,1,mm,a4_121820
D82699,7242,WP30105,0,G,2,C0D0F0T1,1,mm,a4_121820
D82699,5618,WP30105,0,G,2,C1D1F0T0,1,mm,a4_121820
D82699,17900,WP30105,0,G,2,C1D1F1T1,1,mm,a4_121820
D82699,2717,WP30105,0,G,2,C0D1F0T1,1,mm,a4_121820
D82699,13333,WP30105,0,G,2,C0D1F0T0,0,mm,a4_121820
D82699,2501,WP30105,0,G,3,C0D1F1T1,1,mm,a4_121820
D82699,4003,WP30105,0,G,3,C1D0F1T0,2,mm,a4_121820
D82699,16331,WP30105,0,G,3,C1D1F1T1,1,mm,a4_121820
D82699,14843,WP30105,0,G,3,C1D0F0T0,1,mm,a4_121820
D82699,4304,WP30105,0,G,3,C0D1F0T1,1,mm,a4_121820
D82699,927,WP30105,0,G,3,C1D1F0T0,1,mm,a4_121820
D82699,13058,WP30105,0,G,3,C1D0F0T1,1,mm,a4_121820
D82699,5443,WP30105,0,G,3,C0D0F1T1,1,mm,a4_121820
D82699,19837,WP30105,0,G,3,C0D0F1T0,1,mm,a4_121820
D82699,925,WP30105,0,G,3,C0D1F1T0,1,mm,a4_121820
D82699,17963,WP30105,0,G,3,C0D1F0T0,1,mm,a4_121820
D82699,2048,WP30105,0,G,3,C0D0F0T1,1,mm,a4_121820
D82699,4382,WP30105,0,G,4,C0D1F0T1,1,mm,a4_121820
D82699,4221,WP30105,0,G,4,C1D0F0T1,1,mm,a4_121820
D82699,2395,WP30105,0,G,4,C1D0F1T0,1,mm,a4_121820
D82699,833,WP30105,0,G,4,C1D1F0T0,1,mm,a4_121820
D82699,19902,WP30105,0,G,4,C1D1F1T1,1,mm,a4_121820
D82699,638,WP30105,0,G,4,C0D1F1T1,1,mm,a4_121820
D82699,13284,WP30105,0,G,4,C0D0F1T0,1,mm,a4_121820
D82699,14808,WP30105,0,G,4,C1D0F0T0,2,mm,a4_121820
D82699,13409,WP30105,0,G,4,C0D0F1T1,1,mm,a4_121820
D82699,2532,WP30105,0,G,4,C0D1F1T0,1,mm,a4_121820
D82699,19527,WP30105,0,G,4,C0D1F0T0,1,mm,a4_121820
D82699,2046,WP30105,0,G,4,C0D0F0T1,1,mm,a4_121820
D82699,2095,WP30105,0,G,5,C1D0F0T1,1,mm,a4_121820
D82699,839,WP30105,0,G,5,C0D1F1T1,1,mm,a4_121820
D82699,486,WP30105,0,G,5,C0D0F0T1,1,mm,a4_121820
D82699,16360,WP30105,0,G,5,C0D1F0T0,1,mm,a4_121820
D82699,16317,WP30105,0,G,5,C1D0F0T0,1,mm,a4_121820
D82699,2313,WP30105,0,G,5,C1D1F0T0,0,mm,a4_121820
D82699,15010,WP30105,0,G,5,C1D0F1T0,1,mm,a4_121820
D82699,11880,WP30105,0,G,5,C0D0F1T1,1,mm,a4_121820
D82699,1448,WP30105,0,G,5,C0D1F0T1,1,mm,a4_121820
D82699,16288,WP30105,0,G,5,C1D1F1T1,1,mm,a4_121820
D82699,16398,WP30105,0,G,5,C0D0F1T0,1,mm,a4_121820
D82699,845,WP30105,0,G,5,C0D1F1T0,1,mm,a4_121820
D82699,7093,WP30105,0,G,6,C0D1F1T0,0,mm,a4_121820
D82699,15049,WP30105,0,G,6,C1D1F1T1,1,mm,a4_121820
D82699,887,WP30105,0,G,6,C0D0F0T1,1,mm,a4_121820
D82699,5536,WP30105,0,G,6,C0D1F1T1,2,mm,a4_121820
D82699,1326,WP30105,0,G,6,C0D1F0T1,1,mm,a4_121820
D82699,738,WP30105,0,G,6,C1D1F0T0,1,mm,a4_121820
D82699,19584,WP30105,0,G,6,C1D0F1T0,1,mm,a4_121820
D82699,17790,WP30105,0,G,6,C1D0F0T0,1,mm,a4_121820
D82699,2582,WP30105,0,G,6,C1D0F0T1,1,mm,a4_121820
D82699,19848,WP30105,0,G,6,C0D1F0T0,1,mm,a4_121820
D82699,19516,WP30105,0,G,6,C0D0F1T1,1,mm,a4_121820
